City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Gamboula,CF,4.12,15.14,66.58,96,62,2.3,broken clouds
318,Puerto Del Rosario,ES,28.5,-13.86,69.8,73,40,18.34,scattered clouds
319,Zbiroh,CZ,49.86,13.77,46.0,100,69,2.82,broken clouds
320,Nioki,CD,-2.72,17.68,74.03,90,59,1.88,broken clouds
321,Kambove,CD,-10.88,26.6,67.3,42,0,3.6,clear sky
322,Mwene-Ditu,CD,-7.0,23.45,66.69,97,97,4.34,overcast clouds
323,Abu Samrah,SY,35.3,37.18,64.71,27,2,4.94,clear sky
324,Auki,SB,-8.77,160.7,86.23,65,91,2.37,overcast clouds
325,Teya,RU,60.38,92.63,19.4,94,100,2.95,overcast clouds
326,Irpa Irpa,BO,-17.72,-66.27,77.0,36,40,13.87,scattered clouds
327,Kupang,ID,-10.17,123.58,78.8,88,20,5.61,few clouds
328,Olafsvik,IS,64.89,-23.71,41.95,81,100,23.4,overcast clouds
329,Gornyatskiy,RU,48.29,40.96,43.54,84,56,3.51,broken clouds
330,Salinas,US,36.68,-121.66,66.2,59,1,9.17,clear sky
331,George Town,MY,5.41,100.34,78.8,88,40,5.68,light rain
332,Fallon,US,39.47,-118.78,46.4,20,20,13.87,dust
333,Meulaboh,ID,4.14,96.13,75.45,84,100,5.59,light rain
334,Luganville,VU,-15.53,167.17,82.4,78,75,3.36,broken clouds
335,Olinda,BR,-8.01,-34.86,80.6,74,20,4.7,few clouds
336,Pangnirtung,CA,66.15,-65.71,12.63,84,24,4.85,few clouds
337,Dabakala,CI,8.37,-4.43,77.14,69,57,2.91,broken clouds
338,Amga,RU,60.9,131.96,8.22,92,7,2.66,clear sky
339,Kurilsk,RU,45.23,147.88,48.92,76,55,16.42,light rain
340,Saint-Francois,FR,46.42,3.91,51.8,93,100,4.7,moderate rain
341,Comarapa,BO,-17.9,-64.48,65.21,86,76,4.88,broken clouds
342,Hanzhong,CN,33.07,107.03,61.83,69,98,0.6,overcast clouds
343,Altamira,BR,-3.2,-52.21,82.49,60,6,2.75,clear sky
344,Hobyo,SO,5.35,48.53,79.18,83,1,7.65,clear sky
345,Codrington,AU,-38.27,141.97,54.07,67,1,18.28,clear sky
346,Barrhead,GB,55.8,-4.39,48.99,81,84,17.22,moderate rain
347,Lahaina,US,20.88,-156.68,93.2,58,20,5.82,few clouds
348,Katsuura,JP,35.13,140.3,61.0,67,75,5.82,broken clouds
349,Athabasca,CA,54.72,-113.29,27.32,82,65,9.4,broken clouds
350,Kokopo,PG,-4.35,152.26,84.85,65,90,2.28,light rain
351,Nazret,ET,8.55,39.27,60.28,38,0,6.93,clear sky
352,Obo,CF,5.4,26.49,69.91,96,100,3.04,moderate rain
353,Itarema,BR,-2.92,-39.92,80.01,78,39,16.24,scattered clouds
354,Lorengau,PG,-2.02,147.27,84.4,73,100,5.23,light rain
355,Adeje,ES,28.12,-16.73,70.0,60,20,13.87,few clouds
